timestamp,region,metric,value
2025-04-27T10:00:00.000Z,RegionA,PM2.5,50
2025-04-27T10:00:00.000Z,RegionA,temp,22
2025-04-27T10:00:00.000Z,RegionA,humidity,40
2025-04-27T10:00:00.000Z,RegionB,PM2.5,60
2025-04-27T10:00:00.000Z,RegionB,temp,23
2025-04-27T10:00:00.000Z,RegionB,humidity,45
2025-04-27T10:05:00.000Z,RegionA,PM2.5,52
2025-04-27T10:05:00.000Z,RegionA,temp,23
2025-04-27T10:05:00.000Z,RegionA,humidity,42
2025-04-27T10:05:00.000Z,RegionB,PM2.5,62
2025-04-27T10:05:00.000Z,RegionB,temp,24
2025-04-27T10:05:00.000Z,RegionB,humidity,47
2025-04-27T10:10:00.000Z,RegionA,PM2.5,54
2025-04-27T10:10:00.000Z,RegionA,temp,24
2025-04-27T10:10:00.000Z,RegionA,humidity,44
2025-04-27T10:10:00.000Z,RegionB,PM2.5,64
2025-04-27T10:10:00.000Z,RegionB,temp,25
2025-04-27T10:10:00.000Z,RegionB,humidity,49
2025-04-27T10:15:00.000Z,RegionA,PM2.5,56
2025-04-27T10:15:00.000Z,RegionA,temp,25
2025-04-27T10:15:00.000Z,RegionA,humidity,46
2025-04-27T10:15:00.000Z,RegionB,PM2.5,66
2025-04-27T10:15:00.000Z,RegionB,temp,26
2025-04-27T10:15:00.000Z,RegionB,humidity,51
2025-04-27T10:20:00.000Z,RegionA,PM2.5,58
2025-04-27T10:20:00.000Z,RegionA,temp,26
2025-04-27T10:20:00.000Z,RegionA,humidity,48
2025-04-27T10:20:00.000Z,RegionB,PM2.5,68
2025-04-27T10:20:00.000Z,RegionB,temp,27
2025-04-27T10:20:00.000Z,RegionB,humidity,53
