features,pm25
"(9,[0,1,8],[22.0,51.0,371.0])",371.0
"[20.0,30.0,68.0,31.0,45.0,9.0,-11.0,-15.0,74.33]",77.0
"[20.0,30.0,198.0,32.0,71.0,9.0,-12.0,-41.0,196.0]",207.0
"[20.0,30.0,359.0,30.0,74.0,14.0,-10.0,-44.0,361.0]",373.0
"[20.0,31.0,43.0,25.0,65.0,14.0,-5.0,-34.0,39.67]",57.0
"[20.0,31.0,195.0,24.0,77.0,-1.0,-4.0,-46.0,188.67]",194.0
"[20.0,32.0,100.25404591644713,26.0,58.0,0.0,-6.0,-26.0,100.25]",100.25404591644713
"[20.0,33.0,117.0,25.0,58.0,15.0,-5.0,-25.0,120.67]",132.0
"[20.0,33.0,177.0,32.0,31.0,6.0,-12.0,2.0,183.67]",183.0
"[20.0,34.0,50.0,22.0,50.0,-12.0,-2.0,-16.0,43.33]",38.0
"[20.0,35.0,48.0,27.0,56.0,-3.0,-7.0,-21.0,42.67]",45.0
"[20.0,35.0,56.0,33.0,59.0,2.0,-13.0,-24.0,59.33]",58.0
"[20.0,35.0,74.0,25.0,45.0,-11.0,-5.0,-10.0,67.0]",63.0
"[20.0,35.0,134.0,20.0,46.0,1.0,0.0,-11.0,144.33]",135.0
"[20.0,35.0,199.0,32.0,75.0,12.0,-12.0,-40.0,196.33]",211.0
"[20.0,36.0,43.0,25.0,52.0,3.0,-5.0,-16.0,43.67]",46.0
"[20.0,36.0,59.0,32.0,49.0,-22.0,-12.0,-13.0,55.33]",37.0
"[20.0,36.0,102.0,34.0,31.0,-2.0,-14.0,5.0,104.67]",100.0
"[20.0,37.0,48.0,27.0,34.0,2.0,-7.0,3.0,43.67]",50.0
"[20.0,37.0,71.0,31.0,49.0,1.0,-11.0,-12.0,73.0]",72.0
"[20.0,37.0,74.0,32.0,50.0,12.0,-12.0,-13.0,77.67]",86.0
"[20.0,37.0,75.0,23.0,54.0,-15.0,-3.0,-17.0,77.67]",60.0
"[20.0,37.0,98.0,31.0,46.0,4.0,-11.0,-9.0,107.0]",102.0
"[20.0,37.0,291.0,21.0,45.0,29.0,-1.0,-8.0,301.0]",320.0
